City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Atuona,PF,78.26,overcast clouds,-9.8,-139.0333,Villa Enata
6,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Poum,NC,78.71,clear sky,-20.2333,164.0167,Gîte kajeon
16,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
18,Kanker,IN,78.55,broken clouds,20.2719,81.4931,STARiHOTEL Kanker
19,Progreso,MX,77.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
25,Port Hedland,AU,87.85,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
27,Avarua,CK,80.65,overcast clouds,-21.2078,-159.775,Paradise Inn
28,Sinnamary,GF,78.4,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
35,Hambantota,LK,77.34,clear sky,6.1241,81.1185,Bungalow 63
37,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
38,Sao Filipe,CV,81.43,overcast clouds,14.8961,-24.4956,Hotel Xaguate
44,Bubaque,GW,82.29,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
52,Atar,MR,79.18,overcast clouds,20.5169,-13.0499,Oumou Elghoura
54,Obregon,NI,80.69,few clouds,11.9566,-85.9636,Hostal Casa Aryen
56,Hilo,US,80.33,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
58,Bonthe,SL,78.66,clear sky,7.5264,-12.505,Bonthe Holiday Village
59,Manaure,CO,79.81,overcast clouds,11.7751,-72.4445,Hotel Palaaima
61,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
64,Banda Aceh,ID,83.52,broken clouds,5.5577,95.3222,Sulthan Hotel International
68,Hithadhoo,MV,80.42,overcast clouds,-0.6,73.0833,Scoop Guest House
70,Lakatoro,VU,84.0,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
72,Karratha,AU,82.42,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
76,Coahuayana,MX,75.34,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
80,Namatanai,PG,86.47,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
86,Honiara,SB,87.85,few clouds,-9.4333,159.95,Heritage Park Hotel
100,Adiake,CI,80.19,light rain,5.2863,-3.304,Monhotel résidence Inn Adiake
108,Filingue,NE,78.42,clear sky,14.3521,3.3168,
109,Saint-Philippe,RE,78.35,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
111,Emerald,AU,89.74,scattered clouds,-23.5333,148.1667,The Irish Village
116,Merauke,ID,86.25,broken clouds,-8.4667,140.3333,
117,Kulhudhuffushi,MV,81.28,overcast clouds,6.6221,73.07,Haajy Guest House 1
125,Acapulco,MX,78.58,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
135,Victor Harbor,AU,80.19,overcast clouds,-35.5667,138.6167,McCracken Country Club
136,Dingle,PH,86.67,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
