City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
0,Ridgefield,40.8343,-74.0088,53.92,84,90,5.75,US,drizzle,2021-11-22 02:46:33
1,Punta Arenas,-53.15,-70.9167,39.31,75,75,25.32,CL,broken clouds,2021-11-22 02:51:11
2,Upernavik,72.7868,-56.1549,4.35,87,40,6.62,GL,scattered clouds,2021-11-22 02:51:12
3,Fairbanks,64.8378,-147.7164,-10.39,75,1,0.0,US,clear sky,2021-11-22 02:48:50
4,Atuona,-9.8,-139.0333,78.26,74,100,10.78,PF,overcast clouds,2021-11-22 02:51:12
5,Hermanus,-34.4187,19.2345,65.89,91,100,17.11,ZA,light rain,2021-11-22 02:51:13
6,Kapaa,22.0752,-159.319,82.38,71,40,3.0,US,scattered clouds,2021-11-22 02:51:13
7,La Ronge,55.1001,-105.2842,12.45,79,90,8.05,CA,light shower snow,2021-11-22 02:51:13
8,Chumikan,54.7183,135.315,6.8,76,100,2.3,RU,overcast clouds,2021-11-22 02:51:14
9,Rikitea,-23.1203,-134.9692,74.61,61,4,3.94,PF,clear sky,2021-11-22 02:51:14
10,Nikolskoye,59.7035,30.7861,27.39,69,45,10.0,RU,scattered clouds,2021-11-22 02:51:15
11,Ushuaia,-54.8,-68.3,37.06,75,90,18.41,AR,moderate rain,2021-11-22 02:51:13
12,Poum,-20.2333,164.0167,78.71,66,3,5.84,NC,clear sky,2021-11-22 02:51:15
13,Darovskoy,58.77,47.9564,24.01,94,98,7.78,RU,overcast clouds,2021-11-22 02:51:16
14,Sitka,57.0531,-135.33,42.69,87,90,10.36,US,light intensity drizzle,2021-11-22 02:46:48
15,Alyangula,-13.8483,136.4192,91.27,58,70,8.05,AU,broken clouds,2021-11-22 02:51:17
16,Vaini,-21.2,-175.2,80.76,94,75,5.75,TO,broken clouds,2021-11-22 02:51:18
17,Novyy Urengoy,66.0833,76.6333,18.32,93,100,18.61,RU,light snow,2021-11-22 02:51:18
18,Kanker,20.2719,81.4931,78.55,76,81,0.96,IN,broken clouds,2021-11-22 02:51:18
19,Progreso,21.2833,-89.6667,77.11,82,2,11.74,MX,clear sky,2021-11-22 02:51:19
20,Roald,62.5833,6.1333,39.34,81,40,14.97,NO,light rain,2021-11-22 02:51:19
21,Hobart,-42.8794,147.3294,74.01,54,40,1.01,AU,scattered clouds,2021-11-22 02:51:20
22,Chuy,-33.6971,-53.4616,67.15,80,0,8.3,UY,clear sky,2021-11-22 02:51:08
23,Tiznit,29.5833,-9.5,60.64,67,96,1.97,MA,overcast clouds,2021-11-22 02:51:21
