City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Aksaray,38.3726,34.0254,29.79,38,97,0.72,TR,2021-11-15 01:06:38
1,Cap Malheureux,-19.9842,57.6142,76.46,75,93,3.0,MU,2021-11-15 01:06:39
2,Bengkulu,-3.8004,102.2655,77.68,82,94,3.49,ID,2021-11-15 01:05:56
3,Avarua,-21.2078,-159.775,78.85,61,75,4.61,CK,2021-11-15 01:06:39
4,Joshimath,30.5667,79.5667,45.93,20,0,6.29,IN,2021-11-15 01:06:40
5,Albany,42.6001,-73.9662,43.52,70,100,3.0,US,2021-11-15 01:05:29
6,Komsomolskiy,40.4272,71.7189,48.92,53,40,13.8,UZ,2021-11-15 01:06:41
7,Xining,36.6167,101.7667,25.45,47,0,3.24,CN,2021-11-15 01:06:41
8,Kodiak,57.79,-152.4072,31.51,59,1,9.22,US,2021-11-15 01:06:42
9,Hermanus,-34.4187,19.2345,61.9,76,100,3.74,ZA,2021-11-15 01:06:42
10,Paramonga,-10.6667,-77.8333,63.77,83,58,8.66,PE,2021-11-15 01:06:42
11,Qaqortoq,60.7167,-46.0333,10.9,64,0,17.76,GL,2021-11-15 01:06:43
12,Zhanjiang,21.2815,110.3427,71.08,62,100,11.99,CN,2021-11-15 01:06:43
13,Busselton,-33.65,115.3333,70.05,47,97,6.24,AU,2021-11-15 01:06:44
14,Marsh Harbour,26.5412,-77.0636,77.09,72,100,8.79,BS,2021-11-15 01:06:44
15,Cape Town,-33.9258,18.4232,65.08,73,100,8.81,ZA,2021-11-15 01:06:02
16,Golden,39.7555,-105.2211,63.64,33,75,8.01,US,2021-11-15 01:05:34
17,Victoria,22.2855,114.1577,74.21,65,93,1.99,HK,2021-11-15 01:06:45
18,Kapaa,22.0752,-159.319,79.12,70,75,3.0,US,2021-11-15 01:06:46
19,Airai,-8.9266,125.4092,63.52,88,100,1.72,TL,2021-11-15 01:06:46
20,Jamestown,42.097,-79.2353,34.09,99,90,1.99,US,2021-11-15 01:05:28
21,Fukuma,33.7667,130.4667,64.29,54,48,5.66,JP,2021-11-15 01:06:47
22,Barrow,71.2906,-156.7887,8.62,78,40,16.11,US,2021-11-15 01:04:16
23,Contamana,-7.3333,-75.0167,80.55,66,58,3.38,PE,2021-11-15 01:06:48
24,Nikolskoye,59.7035,30.7861,33.87,79,59,5.41,RU,2021-11-15 01:05:59
25,Taoudenni,22.6783,-3.9836,76.08,28,9,6.08,ML,2021-11-15 01:06:48
26,Lorengau,-2.0226,147.2712,83.79,72,96,6.2,PG,2021-11-15 01:06:49
27,Atuona,-9.8,-139.0333,78.6,70,6,13.13,PF,2021-11-15 01:06:49
28,Rikitea,-23.1203,-134.9692,74.44,74,100,16.24,PF,2021-11-15 01:02:07
29,Hilo,19.7297,-155.09,80.33,84,20,10.36,US,2021-11-15 01:06:50
30,Huilong,31.8111,121.655,59.99,44,0,2.75,CN,2021-11-15 01:06:51
31,Joensuu,62.6012,29.7632,25.27,89,20,3.44,FI,2021-11-15 01:06:51
32,Bluff,-46.6,168.3333,56.35,63,86,9.53,NZ,2021-11-15 01:06:52
33,Thompson,55.7435,-97.8558,21.34,87,96,5.59,CA,2021-11-15 01:04:56
34,Naze,28.3667,129.4833,65.88,54,91,13.29,JP,2021-11-15 01:06:52
35,Mariental,-24.6333,17.9667,77.52,18,0,6.58,NA,2021-11-15 01:06:53
36,Pangnirtung,66.1451,-65.7125,-2.22,74,0,6.35,CA,2021-11-15 01:06:53
37,Yemelyanovo,56.1681,92.6767,34.61,80,40,8.95,RU,2021-11-15 01:06:54
38,Narsaq,60.9167,-46.05,10.62,74,0,4.7,GL,2021-11-15 01:06:54
39,Locri,38.2414,16.2623,62.17,77,100,2.77,IT,2021-11-15 01:06:55
40,Port Hedland,-20.3167,118.5667,91.45,9,76,18.41,AU,2021-11-15 01:06:55
41,Baruun-Urt,46.6806,113.2792,23.47,54,12,10.16,MN,2021-11-15 01:06:55
42,Juneau,58.3019,-134.4197,35.22,97,75,0.0,US,2021-11-15 01:06:56
43,Minudasht,37.2289,55.3747,50.43,54,0,3.09,IR,2021-11-15 01:06:56
44,Ushuaia,-54.8,-68.3,39.07,99,100,9.15,AR,2021-11-15 01:05:00
45,Wilmington,34.2257,-77.9447,59.86,77,1,5.75,US,2021-11-15 01:03:43
46,Anito,12.4497,125.2886,81.95,85,85,6.53,PH,2021-11-15 01:06:57
47,Buenos Aires,-34.6132,-58.3772,70.92,57,0,6.44,AR,2021-11-15 01:01:58
48,Antofagasta,-23.65,-70.4,60.03,83,79,4.25,CL,2021-11-15 01:02:26
49,Bubaque,11.2833,-15.8333,83.28,68,60,6.4,GW,2021-11-15 01:07:58
50,Ostersund,63.1792,14.6357,29.61,93,75,11.5,SE,2021-11-15 01:07:59
51,Faanui,-16.4833,-151.75,78.19,77,100,5.97,PF,2021-11-15 01:07:59
52,Arraial Do Cabo,-22.9661,-42.0278,70.74,68,37,16.46,BR,2021-11-15 01:08:00
53,Hobyo,5.3505,48.5268,78.94,75,67,6.76,SO,2021-11-15 01:08:00
54,New Norfolk,-42.7826,147.0587,50.72,63,33,4.0,AU,2021-11-15 01:08:01
55,Butaritari,3.0707,172.7902,82.44,68,10,16.58,KI,2021-11-15 01:05:26
56,Bredasdorp,-34.5322,20.0403,60.24,78,100,0.76,ZA,2021-11-15 01:05:12
57,Bethel,41.3712,-73.414,47.55,69,75,5.75,US,2021-11-15 01:05:11
58,Saldanha,-33.0117,17.9442,63.32,83,100,17.11,ZA,2021-11-15 01:08:02
59,Norman Wells,65.282,-126.8329,7.02,97,96,5.53,CA,2021-11-15 01:08:02
60,Kalga,50.9251,118.898,22.55,75,10,2.48,RU,2021-11-15 01:08:03
61,Sao Filipe,14.8961,-24.4956,75.94,74,73,9.15,CV,2021-11-15 01:05:23
62,Mataura,-46.1927,168.8643,62.98,43,100,4.21,NZ,2021-11-15 01:08:04
63,Gushikawa,26.3544,127.8686,72.99,59,1,13.8,JP,2021-11-15 01:08:04
64,Mar Del Plata,-38.0023,-57.5575,62.1,82,0,1.99,AR,2021-11-15 01:08:04
65,Port Macquarie,-31.4333,152.9167,78.89,27,0,7.81,AU,2021-11-15 01:08:05
66,Yellowknife,62.456,-114.3525,18.41,96,76,5.99,CA,2021-11-15 01:08:05
67,Lurgan,54.4608,-6.3294,54.84,95,100,8.81,GB,2021-11-15 01:08:06
68,Sisimiut,66.9395,-53.6735,17.42,74,100,6.4,GL,2021-11-15 01:08:06
69,Honiara,-9.4333,159.95,85.8,71,100,3.89,SB,2021-11-15 01:08:07
70,Coolum Beach,-26.5333,153.1,84.34,31,0,3.22,AU,2021-11-15 01:06:16
71,Vengerovo,55.6848,76.7471,20.39,96,94,6.82,RU,2021-11-15 01:08:07
72,Vaini,-21.2,-175.2,80.76,78,40,11.5,TO,2021-11-15 01:08:08
73,Vostok,46.4856,135.8833,18.45,70,3,11.9,RU,2021-11-15 01:08:09
74,Merauke,-8.4667,140.3333,85.44,69,100,7.29,ID,2021-11-15 01:08:09
75,Saint-Philippe,-21.3585,55.7679,74.75,79,44,11.27,RE,2021-11-15 01:08:09
76,Fort Nelson,58.8053,-122.7002,11.79,92,90,0.0,CA,2021-11-15 01:04:56
77,Georgetown,5.4112,100.3354,80.89,87,20,3.44,MY,2021-11-15 01:08:10
78,Qui Nhon,13.7667,109.2333,75.6,96,100,9.8,VN,2021-11-15 01:08:11
79,East London,-33.0153,27.9116,63.99,81,100,8.57,ZA,2021-11-15 01:08:11
80,Envira,-7.3,-70.2167,73.71,96,100,3.09,BR,2021-11-15 01:08:12
81,Vao,-22.6667,167.4833,76.55,77,96,10.49,NC,2021-11-15 01:05:51
82,Makaha,21.4694,-158.2175,80.51,73,90,4.61,US,2021-11-15 01:08:12
83,Chuy,-33.6971,-53.4616,63.64,94,27,6.29,UY,2021-11-15 01:05:06
84,Angouleme,45.65,0.15,50.32,91,90,6.91,FR,2021-11-15 01:08:13
85,Abnub,27.2696,31.1511,66.99,51,1,6.87,EG,2021-11-15 01:08:13
86,Tasiilaq,65.6145,-37.6368,33.96,68,74,9.84,GL,2021-11-15 01:08:14
87,Tamiahua,21.2667,-97.45,71.96,79,0,6.67,MX,2021-11-15 01:04:05
88,West Fargo,46.875,-96.9004,24.8,85,75,3.0,US,2021-11-15 01:08:14
89,Upernavik,72.7868,-56.1549,0.07,77,6,6.85,GL,2021-11-15 01:08:15
90,Oranjemund,-28.55,16.4333,61.05,86,77,7.11,NA,2021-11-15 01:05:49
91,Poum,-20.2333,164.0167,80.76,78,11,16.84,NC,2021-11-15 01:08:16
92,Ostrovnoy,68.0531,39.5131,20.5,90,97,20.47,RU,2021-11-15 01:08:16
93,Oni,42.5794,43.4425,44.76,63,100,4.85,GE,2021-11-15 01:08:17
94,Eenhana,-17.4667,16.3333,71.6,64,100,9.08,NA,2021-11-15 01:08:17
95,Buala,-8.145,159.5921,85.03,72,58,6.11,SB,2021-11-15 01:08:17
96,Cayenne,4.9333,-52.3333,81.09,83,40,3.0,GF,2021-11-15 01:09:18
97,Marienburg,54.0359,19.0266,42.46,95,0,6.62,PL,2021-11-15 01:09:18
98,Lebu,-37.6167,-73.65,52.23,89,4,5.86,CL,2021-11-15 01:09:19
99,Ilulissat,69.2167,-51.1,10.42,79,90,11.5,GL,2021-11-15 01:06:51
100,Rojhan,28.6868,69.9534,64.76,15,0,7.56,PK,2021-11-15 01:09:20
101,Asau,46.4333,26.4,40.95,76,84,2.06,RO,2021-11-15 01:09:20
102,Kavieng,-2.5744,150.7967,85.05,69,94,11.48,PG,2021-11-15 01:09:20
103,Pevek,69.7008,170.3133,18.16,90,100,3.4,RU,2021-11-15 01:09:21
104,Caravelas,-17.7125,-39.2481,72.57,67,100,9.73,BR,2021-11-15 01:09:21
105,Hobart,-42.8794,147.3294,51.06,65,40,8.01,AU,2021-11-15 01:08:17
106,Namibe,-15.1961,12.1522,71.44,82,100,4.5,AO,2021-11-15 01:09:22
107,Plettenberg Bay,-34.0527,23.3716,63.61,68,100,2.35,ZA,2021-11-15 01:09:22
108,Laguna,38.421,-121.4238,66.7,91,90,1.01,US,2021-11-15 01:09:23
109,Portland,45.5234,-122.6762,64.42,84,90,3.0,US,2021-11-15 01:09:24
110,Ribeira Grande,38.5167,-28.7,66.81,80,65,19.75,PT,2021-11-15 01:09:24
111,Kruisfontein,-34.0033,24.7314,59.92,79,100,3.29,ZA,2021-11-15 01:09:25
112,Yeppoon,-23.1333,150.7333,83.98,50,0,7.83,AU,2021-11-15 01:09:25
113,Luderitz,-26.6481,15.1594,67.86,52,0,15.32,NA,2021-11-15 01:06:09
114,Chokurdakh,70.6333,147.9167,0.48,98,99,2.26,RU,2021-11-15 01:09:26
115,Punta Arenas,-53.15,-70.9167,41.11,60,75,26.46,CL,2021-11-15 01:09:27
116,Ossora,59.2353,163.0719,32.79,95,100,8.32,RU,2021-11-15 01:09:27
117,Puerto Ayora,-0.7393,-90.3518,67.41,82,29,9.55,EC,2021-11-15 01:09:27
118,Port Elizabeth,-33.918,25.5701,59.09,86,100,4.07,ZA,2021-11-15 01:05:29
119,La Ronge,55.1001,-105.2842,31.59,86,100,3.71,CA,2021-11-15 01:09:28
120,Saint George,37.1041,-113.5841,71.35,34,1,1.01,US,2021-11-15 01:09:04
121,Meulaboh,4.1363,96.1285,77.99,85,100,2.86,ID,2021-11-15 01:09:29
122,San Patricio,28.017,-97.5169,73.29,66,0,12.03,US,2021-11-15 01:09:29
123,San Francisco De Ojuera,14.7499,-88.1918,68.85,98,16,2.46,HN,2021-11-15 01:09:30
124,Padang,-0.9492,100.3543,77.05,74,100,1.5,ID,2021-11-15 01:09:30
125,Yaan,7.3833,8.5667,75.6,82,67,6.53,NG,2021-11-15 01:09:31
126,Astoria,46.1879,-123.8313,60.03,96,90,13.0,US,2021-11-15 01:09:32
127,Guerrero Negro,27.9769,-114.0611,72.97,43,0,8.21,MX,2021-11-15 01:05:43
128,Klaksvik,62.2266,-6.589,47.32,77,100,20.74,FO,2021-11-15 01:09:32
129,Homer,59.6425,-151.5483,24.67,65,1,6.91,US,2021-11-15 01:09:33
130,Mount Gambier,-37.8333,140.7667,53.02,56,94,11.32,AU,2021-11-15 01:09:33
131,Pishva,35.308,51.7267,47.41,51,14,4.45,IR,2021-11-15 01:09:34
132,Aklavik,68.2191,-135.0107,8.19,97,100,3.0,CA,2021-11-15 01:09:34
133,Fortuna,40.5982,-124.1573,61.41,74,1,6.91,US,2021-11-15 01:06:38
134,Port Alfred,-33.5906,26.891,63.43,84,100,7.18,ZA,2021-11-15 01:09:35
135,Rawson,-43.3002,-65.1023,58.66,46,100,7.94,AR,2021-11-15 01:09:36
136,Yurla,59.3259,54.3223,19.98,83,100,6.44,RU,2021-11-15 01:09:36
137,Ancud,-41.8697,-73.8203,44.42,86,100,16.78,CL,2021-11-15 01:10:37
138,Payakumbuh,-0.2202,100.6308,73.96,73,100,2.17,ID,2021-11-15 01:10:37
139,Provideniya,64.3833,-173.3,26.71,74,75,13.42,RU,2021-11-15 01:10:38
140,Mahebourg,-20.4081,57.7,76.24,70,62,11.81,MU,2021-11-15 01:10:38
141,Ahipara,-35.1667,173.1667,68.04,73,0,13.62,NZ,2021-11-15 01:10:39
142,Thinadhoo,0.5333,72.9333,81.93,74,95,13.62,MV,2021-11-15 01:10:39
143,Moindou,-21.6924,165.677,85.95,63,67,8.14,NC,2021-11-15 01:10:40
144,Nalut,30.3333,10.85,57.61,38,0,3.4,LY,2021-11-15 01:10:40
145,Havoysund,70.9963,24.6622,29.28,71,100,19.17,NO,2021-11-15 01:10:41
146,Nuuk,64.1835,-51.7216,14.61,67,75,11.5,GL,2021-11-15 01:10:41
147,Necochea,-38.5473,-58.7368,55.04,72,0,8.16,AR,2021-11-15 01:10:41
148,Tazovskiy,67.4667,78.7,6.01,90,100,13.49,RU,2021-11-15 01:10:42
149,High Prairie,55.4334,-116.4858,30.47,98,100,6.55,CA,2021-11-15 01:08:42
150,Hasaki,35.7333,140.8333,63.28,56,20,11.18,JP,2021-11-15 01:05:50
151,Cherskiy,68.75,161.3,10.36,92,100,1.86,RU,2021-11-15 01:10:43
152,Grand Gaube,-20.0064,57.6608,76.37,75,93,3.0,MU,2021-11-15 01:10:43
153,Egvekinot,66.3167,-179.1667,11.12,91,99,6.8,RU,2021-11-15 01:10:44
154,Khrebtovaya,56.7032,104.2494,23.14,93,100,5.75,RU,2021-11-15 01:10:44
155,Auki,-8.7676,160.7034,88.09,59,100,1.3,SB,2021-11-15 01:10:45
156,Progreso,21.2833,-89.6667,75.11,68,13,13.65,MX,2021-11-15 01:10:45
157,Pacific Grove,36.6177,-121.9166,71.28,63,1,1.01,US,2021-11-15 01:10:46
158,Alihe,50.5667,123.7167,22.84,53,100,2.15,CN,2021-11-15 01:10:47
159,Berezanka,46.8526,31.388,39.31,74,84,7.36,UA,2021-11-15 01:10:47
160,Drayton Valley,53.2168,-114.9854,30.7,89,100,4.34,CA,2021-11-15 01:10:48
161,Saint-Augustin,51.226,-58.6502,33.84,77,100,17.87,CA,2021-11-15 01:10:48
162,Rio Grande,-32.035,-52.0986,70.95,91,100,3.44,BR,2021-11-15 01:10:49
163,Awbari,26.5921,12.7805,61.77,58,43,8.32,LY,2021-11-15 01:10:49
164,Cabo San Lucas,22.8909,-109.9124,84.51,36,1,0.0,MX,2021-11-15 01:08:44
165,Limbang,4.75,115.0,78.91,88,100,2.24,MY,2021-11-15 01:10:50
166,Waipawa,-41.4122,175.5153,61.43,53,0,23.62,NZ,2021-11-15 01:10:51
167,Ponta Do Sol,32.6667,-17.1,66.83,63,14,3.83,PT,2021-11-15 01:10:51
168,Hauge,58.3436,6.2812,43.97,86,100,13.69,NO,2021-11-15 01:10:52
169,Luba,3.4568,8.5547,78.49,84,72,1.39,GQ,2021-11-15 01:10:52
